"icao","iata","name","city","subd","country","elevation","lat","lon","tz","lid"
"02UT","","Lucin Airport","Lucin","Utah","US",4412,41.366312,-113.843064,"America/Denver","02UT"
"02WA","","Cawleys South Prairie Airport","South Prairie","Washington","US",690,47.152324,-122.094003,"America/Los_Angeles","02WA"
"02WI","","Beer Airport","Hudson","Wisconsin","US",920,45.031911,-92.655756,"America/Chicago","02WI"
"02WN","","Fowler Field","Tonasket","Washington","US",2150,48.745833,-119.318611,"America/Los_Angeles","02WN"
"02XA","","Jls Farms Airport","Honey Grove","Texas","US",675,33.591319,-95.882864,"America/Chicago","02XA"
"02XS","","Seidel Ranch Airport","Elroy","Texas","US",510,30.147713,-97.662779,"America/Chicago","02XS"
"03AZ","","Thompson International Aviation Airport","Hereford","Arizona","US",4275,31.433432,-110.083966,"America/Phoenix","03AZ"
"03CO","","Blue Water Airport","Saguache","Colorado","US",7710,38.097918,-106.089755,"America/Denver","03CO"
"03FA","","Lake Persimmon Airstrip","Lake Placid","Florida","US",70,27.353098,-81.408129,"America/New_York","03FA"
"03FL","","Greens Farm Field","Cape Coral","Florida","US",15,26.705478,-82.052369,"America/New_York","03FL"
"03GA","","Hia Airport","Statesboro","Georgia","US",238,32.562306,-81.857694,"America/New_York","03GA"
"03IA","","Flatlander Airport","Elliott","Iowa","US",1081,41.141411,-95.194381,"America/Chicago","03IA"
"03ID","","Flying Y Ranch Airport","Council","Idaho","US",3180,44.794329,-116.532646,"America/Boise","03ID"
"03IL","","Wix Airport","Monee","Illinois","US",750,41.402255,-87.816713,"America/Chicago","03IL"
"03KY","","Flying H Farms Airport","Henderson","Kentucky","US",385,37.795904,-87.53879,"America/Chicago","03KY"
"03MA","","Hadley Airport","Hadley","Massachusetts","US",150,42.393145,-72.552032,"America/New_York","03MA"
"03ME","","Maple Ridge Airport","Harrison","Maine","US",556,44.084237,-70.627283,"America/New_York","03ME"
"03MN","","Nauerth Land Ranch Airport","Lakefield","Minnesota","US",1435,43.625238,-95.224722,"America/Chicago","03MN"
"03MO","","Dorton Airport","Richmond","Missouri","US",930,39.288831,-93.992422,"America/Chicago","03MO"
"03MU","","Mc Donnell Airport","Archie","Missouri","US",874,38.491944,-94.412356,"America/Chicago","03MU"
"03NC","","Pilots Ridge Airport","Carolina Beach","North Carolina","US",35,34.104338,-77.904167,"America/New_York","03NC"
"03ND","","Olafson Brothers Airport","Edinburg","North Dakota","US",1045,48.626383,-97.828983,"America/Chicago","03ND"
"03NV","","Llama Ranch Airport","Ruby Valley","Nevada","US",6120,40.584444,-115.297778,"America/Los_Angeles","03NV"
"03NY","","Talmage Field","Riverhead","New York","US",95,40.958432,-72.716765,"America/New_York","03NY"
"03OH","","Gibbs Field","Fremont","Ohio","US",580,41.418385,-83.017416,"America/New_York","03OH"
"03OK","","Sahoma Lake Airport","Sapulpa","Oklahoma","US",890,36.041197,-96.161389,"America/Chicago","03OK"
"03OL","","Bluebird Airport","Alex","Oklahoma","US",1232,35.012334,-97.702735,"America/Chicago","03OL"
"03OR","","Powwatka Ridge Airport","Troy","Oregon","US",3340,45.855422,-117.484344,"America/Los_Angeles","03OR"
"03PR","","Sun View Field","Bonner Springs","Kansas","US",980,39.065947,-94.921703,"America/Chicago","03PR"
"03TE","","Barronena Ranch Airport","Hebbronville","Texas","US",600,27.491144,-98.669461,"America/Chicago","03TE"
"03TT","","Brazos Polo Airport","Orchard","Texas","US",117,29.632117,-95.932481,"America/Chicago","03TT"
"03UT","","A Z Minerals Corporation Airport","Mexican Hat","Utah","US",5315,37.120834,-109.985957,"America/Denver","03UT"
"03WA","","Spangle Field","Spangle","Washington","US",2440,47.408227,-117.371864,"America/Los_Angeles","03WA"
"03WN","","Aerostone Airfield","Goldendale","Washington","US",2342,45.875454,-120.672326,"America/Los_Angeles","03WN"
"03XS","","Creekside Airport","Mertzon","Texas","US",2100,31.318056,-100.754167,"America/Chicago","03XS"
"04AA","","Flying W Ranch Airport","Soldotna","Alaska","US",250,60.535833,-150.811389,"America/Anchorage","04AA"
"04AN","","North 40 Airport","Sutton","Alaska","US",943,61.737511,-148.700724,"America/Anchorage","04AN"
"04AZ","","White Hills Airport","White Hills","Arizona","US",2470,35.721776,-114.450539,"America/Denver","04AZ"
